link_id,Node1           ,Node2           
 PIPE_22431      ,A293            ,A294            
 PIPE_21731      ,A295            ,AD10071-01-01   
 PIPE_26579      ,A296            ,A1731           
 PIPE_22269      ,A297            ,A298            
 PIPE_20130      ,A299            ,A297            
 PIPE_19284      ,A300            ,A301            
 PIPE_20730      ,A302            ,A303            
 PIPE_21897      ,A302            ,A851            
 PIPE_25217      ,A304            ,AD11234-01-01   
 PIPE_17896      ,A305            ,AD10095-01-01   
 PIPE_25361      ,A306            ,AD10098-04-01   
 PIPE_26161      ,A308            ,A1846           
 PIPE_26927      ,AD11753-01-01   ,A310            
 PIPE_17654      ,A1105           ,A312            
 PIPE_31622      ,A312            ,A313            
 PIPE_19734      ,A316            ,A317            
 PIPE_23663      ,A318            ,AD10260         
 PIPE_19141      ,A1525           ,A319            
 PIPE_29483      ,A319            ,A320            
 PIPE_25714      ,AD11251-01-01   ,A1116           
 PIPE_18811      ,A322            ,A1118           
 PIPE_19484      ,A3480           ,AD10089-02-01   
 PIPE_23586      ,A324            ,A325            
 PIPE_23167      ,A329            ,AD10063-06-01   
 PIPE_20309      ,A327            ,A328            
 PIPE_24259      ,A2127           ,A329            
 PIPE_22665      ,A330            ,A2116           
 PIPE_18301      ,A331            ,AD10079-01-01   
 PIPE_22958      ,A1752           ,A10384-01-01    
 PIPE_23579      ,A52             ,A1236           
 PIPE_27563      ,A332            ,A333            
 PIPE_21083      ,A1755           ,A334            
 PIPE_21459      ,AD10409-02-01   ,A1124           
 PIPE_21542      ,A336            ,A337            
 PIPE_15272      ,A338            ,AD10880-01-01   
 PIPE_25253      ,A3156           ,AD10291-01-01   
 PIPE_25042      ,A2989           ,AD10281-01-01   
 PIPE_26913      ,A342            ,AD11141-04-01   
 PIPE_25239      ,A343            ,A344            
 PIPE_18090      ,A342            ,A345            
 PIPE_17992      ,A346            ,A347            
 PIPE_22077      ,A3386           ,AD11181-01-01   
 PIPE_25649      ,A349            ,AD10086-01-01   
 PIPE_25196      ,A350            ,A351            
 PIPE_23054      ,A1584           ,AD10243         
 PIPE_22224      ,A1910           ,A353            
 PIPE_20805      ,A354            ,A355            
 PIPE_17848      ,A356            ,AD10446-01-01   
 PIPE_23053      ,A357            ,A358            
 PIPE_23680      ,A1147           ,AD10130-01-01   
 PIPE_21593      ,A358            ,A361            
 PIPE_24635      ,A2343           ,AD10130-02-01   
 PIPE_23286      ,A363            ,A364            
 PIPE_23354      ,A365            ,A366            
 PIPE_19701      ,A367            ,A368            
 PIPE_24281      ,A369            ,A370            
 PIPE_18912      ,A371            ,A367            
 PIPE_20523      ,A372            ,AD11122-01-01   
 PIPE_18013      ,A373            ,AD10332         
 PIPE_26226      ,A935            ,A374            
 PIPE_24856      ,A375            ,A376            
 PIPE_24093      ,A1792           ,A377            
 PIPE_18662      ,A378            ,A379            
 PIPE_23252      ,A380            ,A2353           
 PIPE_23782      ,A381            ,A382            
 PIPE_25310      ,A383            ,A384            
 PIPE_24503      ,A405            ,AD10006-01-01   
 PIPE_24816      ,A386            ,A387            
 PIPE_22124      ,A388            ,A386            
 PIPE_18812      ,A383            ,A389            
 PIPE_23442      ,A408            ,A409            
 PIPE_21387      ,A390            ,A391            
 PIPE_24058      ,A392            ,A393            
 PIPE_25249      ,A1045           ,A394            
 PIPE_26419      ,A2224           ,A38             
 PIPE_19653      ,A395            ,AD11127-01-01   
 PIPE_21557      ,A396            ,A397            
 PIPE_20480      ,A398            ,A399            
 PIPE_29689      ,A1046           ,A203            
 PIPE_20190      ,A401            ,A402            
 PIPE_19318      ,A405            ,A406            
 PIPE_18606      ,A389            ,AD10030-03-01   
 PIPE_24051      ,A411            ,AD10860-01-01   
 PIPE_24815      ,A3176           ,A408            
 PIPE_20511      ,A409            ,A410            
